@relation breast_cancer-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.supervised.attribute.NominalToBinary-weka.filters.unsupervised.attribute.RandomProjection-N10-R42-DSparse1

@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute K5 numeric
@attribute K6 numeric
@attribute K7 numeric
@attribute K8 numeric
@attribute K9 numeric
@attribute K10 numeric
@attribute Benign? {0,1}

@data
1.059757,1.67939,1.396605,-0.099534,-0.933638,-1.90885,-2.127163,1.79892,-0.069092,-4.829396,0
0.476647,0.990281,0.862766,-0.669183,-1.589552,-1.412957,-1.664906,1.383401,-0.232394,-3.349677,1
0.550683,0.800301,0.807777,-0.158822,-0.854573,-0.729275,-1.208984,1.068644,-0.766353,-2.210691,1
4.049746,3.984732,2.266846,-0.871651,-0.420398,-2.359812,-1.913145,4.341799,-0.654055,-6.2802,0
0.296092,1.123212,0.37939,0.132744,-1.863044,-1.289524,-1.067865,0.744297,-0.622759,-2.268276,1
1.062088,1.191258,0.226227,-1.097651,-1.697289,-0.893021,-1.20991,0.803556,-0.277644,-2.493725,1
1.779765,1.622559,0.181725,-0.563223,-1.280491,-1.093186,-0.948449,1.637517,-0.261595,-3.321105,1
2.737938,2.430422,0.02128,-0.192748,-0.065413,-0.48878,-0.160573,2.757993,0.146859,-4.632425,1
1.19347,1.16433,0.03073,-1.023692,-1.401634,-1.311355,-1.468538,1.419632,-0.279991,-3.459359,1
-0.031541,0.964498,0.737234,-0.277358,-1.269281,-1.489888,-1.661357,0.908261,-0.461013,-2.794638,1
0.438091,1.246327,0.621063,-0.002446,-1.481172,-1.511159,-1.143872,1.258832,-0.783976,-2.459292,1
1.691498,2.270914,-0.23613,-0.839522,-1.518278,-0.590118,-0.047219,1.367073,-0.008366,-2.022266,1
1.127089,1.829113,1.603359,-0.119378,-1.146545,-1.982201,-2.063124,2.0493,-0.617247,-4.598186,0
1.562696,2.297472,1.163955,0.442852,-1.361482,-2.218371,-1.689929,2.274205,-0.536106,-4.878415,0
2.794593,1.568552,2.188228,-1.407613,-0.572704,-0.522665,-2.173069,1.556717,-1.713911,-3.307477,0
0.270259,1.102701,1.338794,-0.270089,-0.860486,-1.262514,-1.372936,0.973669,-0.422033,-2.356213,1
2.28427,2.075842,1.65159,-0.911558,-0.879475,-1.636386,-1.517538,1.956939,-0.653664,-3.535303,0
6.007584,4.562918,1.715323,-2.722327,-1.613182,-2.493907,-2.082488,3.218949,-0.509334,-6.496836,0
1.302651,1.264815,1.625415,-1.103027,-0.267765,-1.122818,-1.728039,1.513307,-0.342129,-2.872042,1
1.257102,1.444458,0.631925,-0.024739,-0.566956,-0.518843,-0.210261,1.382875,-0.101276,-2.190871,1
0.772065,1.103448,0.895451,-0.493307,-0.909114,-0.883576,-1.023923,1.054602,-0.737104,-1.731857,1
0.587366,1.180044,1.047392,0.222181,-1.307674,-1.230511,-1.524582,1.366715,-1.071149,-2.903326,0
2.453358,2.115516,1.686245,-0.718877,-0.421573,-1.127153,-1.011549,2.242407,-0.885714,-2.677783,0
1.972193,1.957936,1.320639,-1.051722,-0.644981,-1.511174,-1.494348,2.526279,-0.589273,-3.857598,1
2.74775,2.3645,1.40412,0.041827,-0.804165,-1.612252,-1.558267,2.133086,-1.161143,-4.187811,0
0.880912,1.238479,1.452241,-0.835959,-0.896076,-1.081643,-1.795142,1.415558,-0.77746,-3.20146,1
1.417782,1.72801,1.467387,-0.276844,-0.965038,-1.72422,-1.638045,1.486727,-0.763938,-3.038464,0
1.403522,1.598049,1.442708,-0.466353,-1.094512,-1.5544,-1.842615,1.918868,-1.076026,-3.613974,0
1.571213,1.539894,1.664025,-0.68183,-0.307084,-1.089314,-1.299883,1.610466,-0.686032,-2.726496,1
1.875617,1.972097,1.483599,-0.362816,-1.187492,-1.392808,-1.177003,1.728732,-1.05538,-2.7644,0
0.796286,1.013033,0.566971,-0.180828,-1.579883,-0.919875,-1.199568,0.854133,-0.753979,-2.423134,0
0.702085,0.426992,0.423925,-1.241037,-1.132794,-0.760072,-0.899771,1.093856,0.303206,-1.976336,1
0.676868,0.809467,0.984079,-0.597306,-0.705584,-0.888788,-1.385762,1.006483,-0.464255,-2.252435,1
2.813434,2.046702,1.248481,-1.763065,-0.72998,-1.304207,-1.967365,2.534252,-0.602393,-3.250921,0
1.041579,1.285625,1.03052,-1.210009,-0.972818,-1.366065,-1.333968,1.57526,-0.080047,-2.736046,1
0.335606,0.612129,0.771383,-0.751457,-0.948196,-1.080251,-1.792899,0.260438,-0.712723,-1.893835,1
1.745176,1.708992,1.081976,-0.695394,-0.874556,-1.388289,-1.365497,1.876093,-0.63969,-2.964957,0
0.608785,0.588982,0.593203,-1.273968,-1.393052,-0.830113,-1.459682,1.264193,-0.280942,-2.742753,1
0.927602,1.183928,1.259301,-0.37608,-0.749287,-0.976892,-1.50188,1.345869,-0.865554,-2.862682,1
0.687643,0.784023,0.457345,-0.593555,-0.899785,-0.509076,-0.667122,0.737661,-0.24331,-1.533073,1
1.257053,1.807461,0.594592,-0.982223,-1.160318,-1.315739,-1.526462,1.847605,-0.655936,-3.607356,1
2.103046,1.210541,1.69998,-1.2553,-0.541643,-0.84977,-3.177054,2.123659,-1.020355,-6.028659,0
2.126203,1.626536,0.639951,-0.949366,-0.687001,-0.40972,-0.721891,2.241643,-0.432523,-3.751231,1
1.284066,1.60907,1.616802,-0.389827,-0.336025,-1.160538,-1.230749,1.725474,-0.495268,-2.879845,1
0.948565,1.127451,0.933461,-0.23629,-0.486632,-0.634892,-0.687995,1.323233,-0.704288,-1.66845,1
1.234474,0.990627,1.183065,-1.30175,-1.165133,-1.738937,-2.590883,1.185083,-1.001068,-2.917937,1
0.634887,1.19985,-0.400722,0.305499,-2.029486,-1.562282,-1.572314,1.265138,0.069583,-5.287593,1
3.316243,3.016308,-0.413305,-1.037817,-0.61856,-1.71159,-1.520193,2.57672,1.046775,-6.130227,1
0.805615,0.973456,1.095184,-0.997142,-1.019821,-1.092169,-1.649295,0.533652,-0.554639,-1.958501,1
1.231389,1.518735,1.484929,-0.613368,-1.093856,-1.107406,-1.699925,1.051779,-0.818262,-3.071122,1
0.825755,0.991123,0.813243,-0.263447,-0.922629,-1.087652,-1.550974,1.058649,-0.736414,-2.743542,1
2.483298,2.464681,1.103959,-0.5948,-0.941636,-1.840276,-1.215283,2.67469,-0.661571,-3.675517,0
1.777476,1.312796,1.031291,-0.887925,-0.530195,-0.792483,-0.806909,1.931098,-0.529777,-2.534269,1
0.570484,0.924971,1.098789,-0.558915,-0.745776,-0.890596,-1.195451,0.796556,-0.465196,-1.940604,1
0.469128,0.725587,0.709088,-0.382825,-0.836125,-0.687763,-0.953025,0.510671,-0.575694,-1.551715,1
1.444887,1.133231,0.688398,-1.242842,-1.378092,-1.126825,-1.909106,1.340322,-0.582797,-3.225896,1
3.312828,2.737001,1.72992,-0.914535,-0.134149,-1.158406,-0.870234,2.725351,-0.991445,-2.501158,0
2.636102,2.425356,2.321627,-0.354682,-0.294693,-1.674171,-1.637536,2.346754,-0.784948,-4.260514,0
1.032986,1.349259,0.312159,-0.464229,-1.694954,-1.096833,-0.936418,1.309004,-0.479087,-2.919476,1
3.270592,2.912871,2.730495,-0.077577,-0.130273,-1.314093,-0.884674,2.852146,-1.81054,-3.922693,0
1.232359,1.056541,1.166412,-0.67974,-0.788908,-0.535503,-0.964082,1.097315,-0.982407,-1.695359,1
0.294532,1.001331,0.844103,-0.606585,-0.913406,-1.048253,-0.956603,0.530752,-0.174019,-1.310452,1
2.066049,1.767818,1.399099,-0.601276,-0.56345,-1.131256,-1.163283,2.020967,-0.787993,-3.082997,0
2.174235,2.272,0.585128,0.130992,-0.935713,-1.637115,-0.741011,2.638121,-0.619615,-3.177896,0
1.141707,1.173371,1.252278,-0.813594,-0.776904,-1.114524,-1.282906,1.443072,-0.689091,-2.270502,1
0.926834,1.206775,1.453334,-0.895342,-0.751095,-1.365706,-1.757048,0.947312,-0.534677,-2.380106,1
0.845842,1.254102,1.014519,-0.309379,-1.174589,-1.087761,-1.178092,1.126853,-0.674412,-2.25964,0
1.795456,1.901901,1.752643,-0.510006,-0.298086,-1.567386,-1.958298,1.832957,-0.206706,-3.9086,0
1.532726,1.059426,0.433066,-1.41936,-1.322078,-0.61158,-1.010932,0.58099,0.03121,-2.159753,1
1.034199,0.414345,0.513101,-1.569567,-1.160294,-0.71507,-1.553175,0.323897,-0.262009,-1.963041,1
0.581475,0.557672,0.196184,-0.807061,-1.185972,-0.751045,-1.444035,0.039465,-0.526292,-1.664425,1
1.945083,2.003844,-0.261041,-0.922329,-1.311559,-0.562302,-0.447664,2.211332,0.245875,-4.89609,1
1.991491,2.08143,1.423455,0.051023,-0.640984,-1.192886,-1.102809,2.440842,-0.459472,-4.236437,0
0.947809,0.628139,0.207209,-0.13705,-0.945352,-0.23072,-0.540842,0.498579,-0.953025,-0.941292,1
0.812777,1.031971,0.666188,-0.655398,-0.869836,-0.948575,-0.804006,0.589911,-0.259842,-1.330962,1
4.449708,3.308397,2.562541,-0.716129,-0.403107,-1.53401,-0.779229,3.030476,-1.532907,-4.189853,0
3.003128,2.9988,2.041066,0.716636,-0.303696,-2.107781,-1.835142,4.056939,-1.618044,-6.507694,0
1.23026,1.614999,1.639445,-0.014205,-1.017789,-0.956837,-1.189074,1.937983,-1.014029,-3.231068,0
1.207494,1.371105,0.484725,-0.783992,-0.687879,-0.416084,-0.247103,1.492134,-0.064845,-1.730672,1
0.947347,1.497912,1.327613,0.406989,-0.776245,-1.248144,-1.280018,1.74201,-1.156224,-3.003201,0
0.641735,1.002229,0.492772,-0.962831,-2.03292,-1.166477,-1.485135,0.174996,-0.55414,-1.966674,1
1.655983,1.870184,2.054659,-0.090891,-0.392206,-1.002274,-1.03097,1.643505,-1.205558,-2.526792,0
0.815171,1.002038,1.038037,-0.530546,-0.783323,-0.935184,-1.256757,0.836106,-0.619754,-1.937666,1
0.984427,0.561171,0.957689,-1.498645,-1.508396,-0.587681,-1.695877,0.59113,-0.49661,-2.384386,1
1.003678,1.169924,0.884387,-0.613981,-0.754606,-0.778335,-0.909477,1.090619,-0.532114,-1.842355,1
2.510807,3.017042,1.211871,-0.209313,-1.414573,-0.765052,-1.348497,4.50968,-0.513562,-8.055907,0
1.605143,0.743554,0.045139,-1.029188,-0.673896,-0.745364,-1.089479,1.70138,-0.559331,-2.050059,1
1.042779,-1.347057,-0.431799,-2.239105,-0.406699,-0.050534,-0.839324,0.456465,1.009893,-2.517018,1
0.722586,1.397445,0.367148,0.410692,-2.055236,-1.65424,-1.499693,2.013551,-0.646467,-4.548745,0
2.184393,2.258395,1.019811,-0.151468,-0.765752,-0.992221,-1.058985,2.626674,-0.803254,-3.988395,0
1.073683,1.114353,1.107915,-0.380497,-0.622343,-0.855167,-1.264551,1.012391,-0.705913,-2.330341,1
1.655903,1.735735,0.806164,-0.872211,-1.903761,-1.422556,-1.71566,1.732217,-0.383843,-3.929445,0
2.65178,2.378592,0.966987,-0.412133,-0.458652,-0.969699,-0.346692,2.340163,-0.919558,-2.658478,0
2.120363,2.522214,1.816076,0.32013,-0.830948,-1.188653,-0.74597,2.930306,-1.234881,-3.771918,0
0.930823,1.486349,1.933112,0.376373,-0.839948,-1.407619,-2.084483,1.648976,-1.27242,-4.240454,0
0.75935,1.025606,0.688005,-0.248686,-1.27349,-1.438884,-1.527542,1.27066,-0.626623,-2.997866,1
1.899062,2.136206,1.87067,-0.077256,-0.507131,-1.075418,-0.791118,2.175104,-0.957521,-3.104275,0
4.14017,3.446634,2.173332,-0.482648,-0.718176,-1.878421,-1.359535,2.840622,-1.132437,-5.15754,0
0.813066,1.562336,1.05864,-0.261334,-2.329645,-2.19675,-2.628034,2.257562,-0.891384,-5.450369,0
0.875863,1.227868,0.901437,-0.37475,-1.103988,-1.451651,-1.633582,1.367492,-0.63281,-3.068889,1
1.028616,1.77777,1.759499,0.18231,-0.74695,-1.317325,-1.16452,1.651244,-0.999965,-2.892052,0
0.556965,0.644742,0.7789,-1.007378,-1.460249,-1.220711,-1.952988,0.58386,-0.578839,-2.592549,1
2.003009,1.766238,1.597436,-0.553818,-0.601654,-1.281943,-1.574552,1.66541,-1.303924,-2.607415,0
1.25062,1.395638,0.859063,0.13368,-1.058295,-0.995858,-1.777185,2.009557,-1.2575,-4.112112,1
1.039269,1.588249,1.61887,-0.14892,-0.299468,-0.904775,-0.568764,1.275409,-0.462044,-1.650643,1
3.419664,2.674804,1.907845,-1.027537,-0.498335,-1.062095,-0.946805,2.946953,-1.066496,-3.104374,0
0.573752,1.014067,0.683706,-0.218465,-1.061269,-0.892032,-0.993414,1.085871,-0.684037,-2.085919,1
6.287644,3.797932,1.06159,-2.69902,-0.531641,-1.980351,-1.867527,3.17828,-1.40208,-1.158108,0
4.09661,4.403845,0.740273,-0.784196,-2.426541,-0.945779,0.292029,1.836687,-0.644441,-2.95584,0
2.123286,1.734129,1.319139,-0.504879,-1.508088,-1.06205,-2.121589,2.006908,-1.161392,-5.161345,0
1.212323,1.549432,1.31347,-0.232398,-0.809787,-1.315202,-1.794401,2.283098,-0.487311,-4.574111,0
1.261113,1.448334,0.930298,-0.744752,-1.23331,-1.024749,-1.444118,1.905317,-0.495074,-3.772516,1
1.060625,0.685414,0.14884,-0.809406,-0.812534,-0.678226,-1.254228,1.136379,-0.166405,-2.71231,1
2.561885,2.602342,1.810499,-0.367117,-0.71723,-1.846486,-1.283704,2.79742,-1.189711,-3.696818,0
2.050279,2.436954,1.235022,0.497171,-1.595882,-1.19206,-0.250797,2.540804,-1.597756,-2.757506,0
0.732202,1.349806,1.237407,-0.370117,-0.548353,-0.888944,-0.847342,1.447719,-0.521441,-1.969539,1
1.078262,1.550423,1.439329,-0.627541,-0.69832,-1.395868,-1.682497,1.551746,-0.655228,-2.911273,1
0.602762,0.674364,0.57329,-0.894831,-1.326027,-1.137412,-1.88117,0.858879,-0.67249,-2.856716,1
1.276757,1.718957,1.567856,0.239352,-1.103987,-1.423592,-1.792489,2.028076,-1.135571,-4.012164,0
0.872051,1.197659,1.026325,-0.273293,-0.858274,-0.892694,-0.92086,0.97895,-0.59532,-1.918856,1
1.455506,1.52398,1.736346,-1.035458,-0.564285,-1.469746,-1.809884,1.402793,-0.698255,-2.447629,1
0.263779,0.645315,0.776506,-0.745714,-1.095863,-1.220663,-1.670222,0.717906,-0.587856,-2.2421,1
1.327787,1.844341,1.633854,-0.008425,-0.142716,-1.150338,-1.067626,2.136954,-0.688589,-3.127239,1
0.770688,1.143895,0.672114,0.62888,-0.981034,-0.887117,-0.822452,1.507627,-0.713854,-2.804944,1
0.865249,1.669333,1.011755,0.484656,-1.188999,-1.938461,-1.802112,2.272558,-0.491998,-5.057481,0
1.643027,2.010518,2.121728,0.044221,-0.439219,-2.038586,-1.847445,1.974519,-0.811892,-4.298824,0
0.67652,0.776153,0.018533,0.494416,-1.23197,-0.804974,-1.106571,0.763032,-1.286631,-1.932397,1
0.672992,0.325934,-0.302298,0.315031,-1.680006,-0.873555,-1.386884,0.570305,-1.525317,-2.217171,1
