@relation 'breast_cancer-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A5-M-1'

@attribute '-0.261mean concave points-0.258mean concavity-0.251worst concave points-0.239mean compactness-0.237worst perimeter...' numeric
@attribute '-0.367mean fractal dimension-0.28fractal dimension error-0.275worst fractal dimension+0.234mean radius-0.233compactness error...' numeric
@attribute '-0.375texture error-0.309smoothness error-0.289symmetry error+0.271worst symmetry-0.268radius error...' numeric
@attribute '-0.633worst texture-0.603mean texture-0.36texture error+0.159mean smoothness+0.108area error...' numeric
@attribute '-0.365mean smoothness+0.354concavity error-0.324worst smoothness-0.306mean symmetry+0.28 compactness error...' numeric
@attribute '0.499worst symmetry+0.49 symmetry error-0.369worst smoothness+0.356mean symmetry-0.343smoothness error...' numeric
@attribute '-0.375worst fractal dimension+0.37 concave points error-0.347area error-0.315perimeter error-0.312radius error...' numeric
@attribute '0.573smoothness error-0.475texture error-0.289mean smoothness-0.232mean symmetry+0.228worst symmetry...' numeric
@attribute '-0.358concavity error+0.304symmetry error-0.273concave points error-0.256mean symmetry-0.25radius error...' numeric
@attribute '0.572mean symmetry+0.368fractal dimension error-0.317symmetry error-0.312worst concavity-0.289texture error...' numeric
@attribute Benign? {0,1}

@data
-4.945279,1.542399,1.711685,0.046717,-1.737705,-0.812164,-0.7996,0.419542,-0.810969,0.021456,0
-7.092322,-2.016832,0.028983,2.585676,-2.037547,1.183163,-0.601326,-1.306261,-1.100038,2.284265,0
-3.507176,-2.169715,3.891123,-1.294615,-0.06816,0.786664,-0.289663,-0.495549,-0.113088,0.295178,0
-3.061363,1.874901,-2.579477,0.128374,-0.11656,-0.906795,0.645261,0.340174,0.043875,-0.396198,0
-4.003739,-0.536771,2.759199,-1.896719,-0.525213,0.192678,-0.160987,0.3785,-0.35697,-0.569134,0
-1.7138,1.522371,-0.146055,1.909709,0.535655,0.036225,-0.18387,-0.21871,0.381334,-0.036498,0
-6.054116,0.75651,0.348931,-1.063278,-0.745449,0.241869,-0.461568,-0.291813,-0.284491,0.11822,0
-2.899686,-4.001777,2.998819,-0.325026,-0.854605,1.233597,-1.976348,0.20245,-0.564149,-0.229768,0
-4.550779,-0.337237,0.753638,-0.699715,-1.547184,-0.190838,0.888798,-0.243845,-0.44252,0.143377,0
-4.986216,1.131592,2.575119,-1.216191,0.669327,0.267243,-1.031712,1.141728,0.566292,0.244703,0
-2.982715,-0.757758,3.490692,0.054212,0.166954,1.000905,-0.770089,0.210141,0.585133,-0.074734,0
-2.763938,0.354045,1.895296,-0.533789,-0.883241,2.009265,0.719961,1.411389,-0.196795,-0.743104,0
-1.295064,-0.912395,1.57438,-1.042249,0.414354,0.568094,0.142594,0.488197,-0.390894,-0.382448,0
3.74602,1.412234,-1.730783,-0.564944,0.080267,0.290011,0.80433,-1.707339,0.891665,-1.087625,1
0.997191,3.348345,-4.301795,-0.560718,-0.463966,-1.493141,-1.27913,-1.498255,-2.100531,0.011498,0
-0.764593,-0.885463,2.702542,-0.274538,0.809717,-1.036438,0.177562,0.198086,-0.431154,-0.438587,0
2.149063,1.922302,1.179445,-1.112216,0.448081,0.928294,-0.041831,-0.048598,-0.666577,0.390294,0
0.093252,-2.258766,1.903056,-1.441037,-1.703865,-2.120771,0.496547,-0.484027,-0.912507,-0.430322,0
-9.080012,-2.016901,-2.139338,-1.068304,0.797236,4.307301,-0.43378,1.387023,0.35252,-0.933973,0
-0.989584,-0.984065,2.308701,-0.276583,-0.639945,0.242566,-0.613231,-0.067808,-0.282513,0.151825,0
0.293286,0.136977,3.299032,-1.008898,-0.022493,0.110053,-0.233394,0.174873,-0.544443,-0.206735,0
-5.376212,0.134758,1.677364,1.506374,0.151866,0.423536,0.787482,0.790091,-0.111463,-1.05513,0
4.57791,-1.482916,-0.042034,0.295969,-0.713225,0.57542,-0.223002,0.867566,-0.328263,-0.145669,1
-1.698515,-2.350204,3.075383,-0.065966,-1.055539,-0.281863,0.160479,0.018944,-0.591812,-0.105334,0
2.13457,-0.095742,1.491101,1.120078,-0.067979,-0.692885,-0.197163,-0.040049,-0.419439,-0.616887,1
1.566103,1.207372,0.368834,-1.474332,0.172598,0.544806,0.683878,-0.555867,-0.605704,0.198788,1
3.539794,1.281366,-1.017313,-0.607624,-0.219444,0.266012,-0.453641,0.123854,-0.259384,-0.43434,1
3.15504,1.687477,0.495862,0.193837,1.438649,-0.256314,-0.444947,-0.057882,0.492077,-0.241028,1
3.447455,0.497778,0.152379,0.574982,-0.052269,0.629339,-0.060774,0.510872,-0.413623,0.823053,1
-3.299648,1.129946,-0.825668,0.981856,-1.194213,0.707226,-0.647943,-1.537759,0.614293,0.088609,0
0.674028,2.114552,1.394991,-1.042223,0.241607,-0.656077,0.215267,0.207513,-0.505335,0.108501,0
2.855646,-0.152588,-0.428561,0.482639,-1.509202,1.277739,0.392567,0.745418,-0.301158,0.07516,1
-4.644652,2.308301,0.72817,0.639379,-1.157305,-0.178433,0.185345,0.309237,-0.012535,-0.112878,0
-2.174954,-0.971264,1.942183,-0.736671,-0.395437,0.461926,-0.536211,-0.95118,-0.073374,0.194184,0
3.718187,1.786071,-1.278804,0.115465,-0.525821,0.705121,-0.487381,0.297726,0.127266,0.736264,1
4.132329,-2.401679,1.241868,2.046545,-1.164626,-0.900265,-0.40647,1.225064,-0.345614,-0.464265,1
2.383739,-2.755234,-1.213018,1.792914,-3.335221,2.538549,-0.745783,-0.909942,-0.262198,1.31788,1
2.57661,-3.135915,-1.399052,-0.763197,-2.781646,-0.815013,0.395907,0.230737,-0.10296,-0.927285,1
-4.754928,-3.009034,0.166097,-0.605296,1.140695,-1.218994,-0.819303,0.330736,-0.528183,-0.485525,0
2.312094,-3.26512,-2.793766,0.565229,-0.381495,2.955688,-0.210378,-0.627429,0.232124,0.041365,1
-1.690119,-1.539322,1.798267,-1.389366,-1.211608,-1.242116,0.005782,0.385704,-0.801377,-0.181745,0
-1.810712,-0.722106,1.464956,-1.197676,-1.426786,-0.727422,0.530962,-0.474394,-0.003939,0.172885,0
2.783476,-2.308617,-0.472311,-1.605748,-1.61144,-1.188528,-0.169376,0.029826,0.111146,-0.271317,1
3.515557,0.657726,-0.590854,-0.010792,0.020574,-0.405352,0.526531,1.082071,-0.427425,-0.391229,1
-4.326199,-9.194439,-1.491648,0.319664,4.724016,2.213809,2.578795,1.298009,-3.780798,-2.735754,1
3.258414,0.937017,-0.20495,1.089116,-0.459949,-0.433947,0.849326,0.334869,0.004975,-0.31044,1
-2.702219,4.433242,-0.307074,0.488264,0.372171,-0.291543,-0.283243,0.086188,-0.326867,0.033313,0
0.307585,-7.381316,-3.815726,2.131682,2.708318,-1.638317,-2.426223,1.317106,1.883467,3.189834,1
-5.498867,-0.937504,2.208186,-1.522453,0.92408,-0.539585,-1.562491,0.593659,0.67251,0.061129,0
0.361389,-0.119633,2.039163,1.057953,0.756443,-0.91964,-0.697174,-0.39303,0.357909,-0.147418,0
2.627665,0.6967,0.583424,0.337883,0.467135,0.034838,-0.12002,-0.459974,-0.314691,-0.015542,1
-1.42691,1.965372,-1.110963,0.752244,-0.539405,-0.994692,0.908124,1.100358,-1.244778,0.092658,0
0.833785,-1.963877,-0.789741,3.434607,-2.352481,-0.612559,0.775666,-0.246843,0.772837,1.516693,1
-6.225419,-0.919257,-0.089747,2.53693,0.062082,0.682876,-1.398574,0.71924,0.096666,0.508568,0
-11.658457,-4.744447,-2.004118,0.318771,-3.388377,4.876505,1.15448,0.483084,1.170389,-1.323711,0
2.019798,0.254675,0.647301,0.0592,-0.0548,-0.07235,-0.053658,-0.35587,-0.048833,-0.107752,1
1.636945,-1.714442,-0.433823,-1.526618,-1.767828,-1.501873,-0.143561,-0.486256,0.122378,-0.039034,1
-1.166435,-2.512305,1.904044,0.637749,0.235973,0.138012,0.326391,-0.151922,0.226868,-0.503614,1
-10.759774,2.255999,-0.038805,-0.389043,1.186246,-2.186236,-0.035567,-0.547076,1.647863,0.396174,0
-5.030388,-0.773729,-2.679985,-1.665038,-0.311346,-1.421298,0.043214,-2.012761,2.966732,0.022237,0
2.172553,-0.496439,0.948255,0.207036,-0.884566,0.882263,0.255088,-0.229998,-0.423645,0.147767,1
-3.285348,1.666772,-0.146805,0.437109,-1.367366,0.96718,0.153671,-0.192125,0.083451,0.442642,0
-0.607073,-0.162076,-1.635935,-1.113533,-0.540324,0.567359,1.661322,-0.349249,-0.571518,-0.121059,0
-3.580413,2.204721,1.703038,-0.800593,0.365003,1.560093,0.198373,0.643025,-0.183844,0.462368,0
0.933336,-0.92689,0.040129,-1.352207,0.064886,0.223705,-0.076909,-0.148782,-0.262255,0.455561,1
-1.258498,-1.014682,0.080523,2.049531,0.137396,0.842299,0.173657,-0.614013,-0.283253,0.398701,1
1.586871,1.618232,-0.309726,-1.091035,0.053723,0.325519,-0.299549,-0.128753,0.246303,0.52107,1
-0.252272,0.530885,-0.588811,-0.110443,0.428305,-0.199461,1.725597,0.786062,-0.116749,0.14413,0
2.844929,2.891107,-0.527526,0.598291,1.434439,-0.292115,-0.095783,-0.413728,-0.390522,-0.589959,1
1.963221,0.964309,0.081138,-0.093997,-0.549539,-0.321116,0.567759,-0.395717,-0.05811,-0.491251,1
-2.773424,-0.557509,0.605237,0.499391,0.499469,-1.066707,1.042155,0.283559,-0.6379,-0.296967,0
-4.392365,2.121639,-0.579,-0.776732,-0.303563,1.783552,-0.000427,0.292507,0.580373,0.499164,0
2.589802,-0.213445,-1.034701,0.661421,-0.540287,-0.096852,0.022527,-1.596302,-0.179427,0.409959,1
3.900909,-1.189021,-1.550615,-0.934954,-0.707496,-2.351933,-1.115784,-0.148452,0.906613,-0.316507,1
2.815755,-0.367559,1.350246,1.736882,0.28407,-0.430904,-0.484498,0.290694,-0.057298,-0.382512,1
-0.615741,-0.638351,0.199743,-1.096535,0.118587,-0.853186,0.506072,-0.634419,0.237142,0.139285,0
0.432482,1.390819,0.082647,-1.933583,-0.034436,-0.595799,-0.002968,-0.062601,-0.797723,-0.209535,0
4.551024,-3.525688,0.215076,1.090927,-2.755926,-0.8997,-1.41165,-0.324333,0.505548,-0.189857,1
3.445151,1.423369,0.088646,-1.709224,-0.106525,0.342937,0.237796,-0.513342,-0.454772,0.152872,1
2.114098,-1.847749,0.556183,-0.463947,-0.474498,-0.991047,0.508477,0.051817,-0.885906,0.167322,1
2.688987,-1.41881,-0.968299,-0.002857,-1.255412,0.940752,-0.1578,-0.592442,-0.477919,0.64836,1
-3.211091,-4.043196,2.712998,1.327459,-0.221483,-2.202856,-0.519015,-0.919493,-0.024775,-0.596662,0
0.74861,-1.796056,0.567861,-0.560005,-0.932271,-1.608772,0.497912,-0.45284,-0.527102,-0.459225,1
3.156231,1.034838,1.489371,-0.592641,0.513638,0.359602,-0.123134,-0.263562,-0.289617,-0.175901,1
-13.044643,-0.980648,-0.598288,1.471634,-0.599387,1.020865,0.09541,-0.767944,-0.627014,-1.097903,0
2.226717,-0.666823,1.090596,-1.077357,-0.298869,-1.439608,-0.211576,1.388071,-0.448516,-0.629012,1
2.490641,-2.5964,-1.668259,0.63293,-1.15573,-1.095444,-0.203717,1.218972,0.570481,-0.742665,1
0.103262,-2.278138,-2.107705,-0.351538,0.621933,-1.458703,1.040117,-0.120431,0.227165,0.336163,1
-3.588141,-3.922881,-2.045208,-0.231565,5.46046,0.833127,-0.411176,-0.970303,0.535304,-0.248426,1
1.347761,-3.553098,-1.730668,-0.046949,-0.344946,-1.261771,-0.10576,-0.7137,0.410317,0.695738,1
2.507908,-3.248459,1.686142,1.188914,-0.455189,-1.706441,-0.511991,0.337464,-0.678865,-0.491043,1
2.044229,-0.304619,0.533373,-0.489409,-0.067858,-1.337751,-0.45951,0.488505,-0.354098,0.441447,1
2.095224,-3.663874,-3.629001,1.538433,2.234565,-2.293686,0.918596,1.898087,-0.154241,-0.444684,1
-3.107792,-1.568008,2.611639,0.617925,-1.180741,-0.767559,0.206793,-0.209631,-0.284562,-0.033446,0
-4.952368,-2.38275,1.933403,-0.610302,-0.148077,-1.49249,-0.426434,0.27553,-0.357574,0.096439,0
-0.850267,2.304704,-0.566966,-0.043584,-2.092203,4.97516,0.991768,1.044212,0.483428,-0.370721,0
2.963394,-0.37118,2.064715,2.070686,0.162891,-0.437999,-0.056932,0.463645,-0.24573,-0.492911,1
-3.331203,1.324391,-0.727373,1.002315,-0.932888,-0.579614,0.250548,-0.36173,0.241884,0.140283,0
-12.883277,-2.314582,-6.323136,1.940498,-3.157454,-0.946221,1.295738,0.792055,1.694975,-0.077652,0
0.770063,0.06405,1.133412,2.508256,0.02022,0.180696,0.503041,-1.294719,0.091527,-0.363388,1
2.200581,0.73496,-0.266846,-0.037589,2.931459,-0.247253,0.191289,0.070703,0.19799,-0.472742,1
3.14065,1.875756,0.669776,0.303068,0.407712,-0.226922,-0.321344,-0.269963,0.171116,0.294637,1
0.638319,0.910565,2.140836,-2.139037,-0.428761,0.148749,0.041598,0.272032,-0.771909,-0.058853,0
-1.917445,3.534967,-1.253819,0.335704,0.588549,1.467236,0.144599,-0.172105,-0.253495,0.244869,0
-1.40763,-1.303781,-0.640867,1.885297,-0.036221,-0.53383,1.265263,-0.721512,0.385475,0.59344,1
-4.639605,1.480715,1.169655,-1.217533,0.177918,0.678065,0.740311,-0.63402,0.195966,0.761605,0
1.875821,-1.421976,1.06987,1.707828,-0.88377,0.654052,-0.314459,0.222638,0.683093,-0.006868,1
-1.430806,1.048682,1.260903,0.532722,-0.626149,-0.78523,0.621013,-0.214758,-0.669005,0.130946,0
-1.351442,1.153128,1.208729,-0.827379,-0.985944,0.68637,0.31323,-0.524911,-0.333861,0.711966,0
0.708491,1.566854,0.669403,1.685784,0.339017,0.24614,0.838816,-0.525216,0.23243,0.241398,1
-2.169506,2.823772,0.561617,-0.660249,-0.474552,-0.384111,0.138769,0.40063,-0.015766,-0.142003,0
1.975101,0.41902,0.380241,-1.737929,-0.308367,-0.711653,0.317081,0.423053,-0.296088,-0.166092,0
2.5985,0.481911,-1.870728,-0.437635,0.016067,-2.03922,0.004715,-1.745365,-0.05401,-1.340619,1
3.25514,0.417956,0.691198,0.659272,0.121458,0.067229,0.438684,-0.62443,-0.431792,-0.185763,1
-3.7787,-0.859627,-3.667774,2.046019,-2.181869,1.472939,0.562855,0.555425,-1.433122,-1.890635,0
1.990285,-1.328188,-1.134247,2.044634,-0.251905,-1.755537,1.394645,-0.617945,-0.193854,0.078332,1
5.010601,-0.574198,0.841696,2.167756,-0.881228,0.93112,-1.132491,0.264627,0.047778,0.422604,1
-1.343838,1.273654,-0.555352,0.574364,-0.470439,-0.173948,-0.56185,-0.297049,-0.162636,0.026152,0
2.453809,-0.897666,-0.352822,-0.367665,-1.103316,-0.778202,-0.169114,-0.976927,0.507867,-0.663989,1
1.835669,0.090942,1.444006,0.671957,-0.136078,1.073298,-0.09897,0.372823,0.071155,-0.25428,1
4.342668,0.892785,-0.638699,0.425253,0.955601,-0.099112,-0.346749,0.147443,0.015462,-0.772026,1
0.732167,-3.698925,-0.657927,2.23416,-0.336171,-0.382202,-1.360791,0.371337,1.20619,1.188536,1
-2.39789,-4.833739,1.027249,0.34262,-2.389771,5.129716,0.78723,-0.097515,0.086191,-0.638521,0
-0.392755,-1.082116,-2.245625,-0.461452,1.690141,1.553854,-0.673159,-0.31966,1.417844,0.056481,1
0.411966,0.389288,1.044849,1.365043,0.862744,-0.352053,0.885449,-0.372607,-0.234052,-0.216377,1
3.047246,2.23582,0.46904,0.182612,1.574458,0.408444,-0.489557,-0.22373,0.053223,-0.130826,1
1.441297,-0.305604,-0.551065,0.355761,-2.700539,1.49839,0.830552,-0.805492,-1.033077,1.199538,1
-0.08311,-7.144074,0.059957,-1.801494,0.737463,-0.563726,-1.624377,0.607336,0.282871,0.699418,1
-7.087074,-12.562139,-7.352241,1.224259,7.483852,0.814009,1.679574,-1.612771,-3.684761,1.073691,1
3.740108,-0.25028,0.097295,1.930452,-1.042675,0.154079,0.58478,0.491751,-0.21312,-0.063516,1
0.968324,-0.94411,0.890031,1.095567,-0.612963,0.97004,0.427617,1.276189,0.121836,-0.426632,1
2.41659,-0.005552,0.79768,-0.070831,-0.077239,0.864745,-0.106923,-0.109242,-0.453527,0.490922,1
-4.097189,0.37847,-1.445047,0.701752,0.000663,-1.035186,0.317441,-0.420352,-0.213503,0.28698,0
0.750943,3.067947,-1.447911,-0.952588,0.891145,1.296095,0.221394,-1.237221,0.004758,0.076827,1
3.651432,0.674056,0.906189,1.509832,0.293553,-0.413586,-0.141944,-0.121703,0.083962,-0.148393,1
4.676097,1.102888,0.257079,1.245378,0.414258,0.153283,-0.905432,0.623447,0.044924,-0.346191,1
0.597256,-1.784079,-1.480429,-0.177713,-1.58783,0.58878,0.034888,0.01542,-0.186225,-0.257277,1
-3.384351,2.908481,-3.004596,2.825796,0.507902,0.58887,0.831093,1.017668,-0.523166,-0.091161,0
-6.14448,2.015879,1.564767,0.970792,-0.336078,0.343424,0.070711,-0.641694,0.01365,-0.398371,0
1.323869,-1.468004,-0.847673,-1.141763,-0.047783,-1.889969,-0.029042,0.417888,0.629493,0.05777,1
-5.489326,4.162166,0.600733,0.149566,0.62502,1.042116,0.070423,0.832192,1.088422,0.742202,0
2.994768,2.736455,0.161043,-0.412806,0.405188,0.723459,0.422375,-0.138399,0.455291,-0.050702,1
4.382875,-0.006862,0.947276,2.795546,0.445342,-1.686597,-0.282113,0.37232,0.110447,-0.664358,1
-1.212567,2.037249,-0.979828,0.238755,0.085698,0.626106,0.351629,-0.257338,-0.098058,0.309758,0
-5.065207,1.783586,-1.172611,-0.69312,0.648084,-1.976654,-1.597467,-0.479004,-0.658935,-0.598847,0
1.975961,1.841161,0.277114,0.549267,-0.206712,-0.283618,0.553652,-0.912788,0.223497,0.378483,1
2.512665,-0.11415,0.496185,2.352277,-0.688769,-0.044221,1.047504,-0.026272,-0.505726,0.334712,1
0.946656,1.683276,0.350877,-0.576701,-0.341244,-0.422267,-0.035741,0.352738,-0.808133,-0.480264,0
-2.816891,-1.263992,2.151248,2.706083,-0.040006,-0.565778,0.267245,-1.064474,0.093245,-0.638524,0
3.480921,-1.618268,-2.673117,1.252511,-0.598452,-1.342696,1.026527,0.442937,1.288968,-0.234619,1
4.654631,0.222718,-1.557989,0.510644,-1.895271,1.346133,-0.27233,-0.164402,0.669319,-0.53707,1
5.346917,-1.025855,-0.324703,1.367478,-0.917852,0.220842,-1.124159,0.637408,0.424654,0.057752,1
-1.16987,-7.00832,-4.268106,-0.33235,2.906887,-0.388808,-0.713567,0.502126,1.248881,0.151078,1
-2.953704,-0.705802,1.041421,-0.521693,1.412392,-0.268705,0.994493,-0.217538,0.231155,-0.471028,0
4.97133,3.383228,-0.439454,-1.576185,1.032885,0.925968,-0.451987,0.091736,0.179336,0.102143,1
4.060454,1.245066,-0.573971,1.703894,0.615324,-1.507802,-0.332999,-0.077572,0.396248,0.263475,1
-9.504306,5.59856,0.636681,0.224018,-0.406186,-0.835876,0.714029,-0.801919,2.159846,0.029094,0
-8.999249,-0.580519,3.13196,-0.861508,0.045684,0.725133,-0.845143,-0.591017,1.014725,1.201595,0
-0.758209,1.607121,1.513766,-1.075112,-0.049192,0.094248,0.060755,0.365255,0.120588,-0.411209,0
2.657022,-0.539461,-1.705519,1.200695,2.352672,-1.003525,0.266655,0.089386,0.084948,-1.191469,1
0.389676,0.988373,2.582897,-0.783836,0.733664,0.183577,-0.690975,0.214637,0.096785,0.460538,0
3.885646,-0.815353,-1.014826,0.824192,-2.131695,-0.793025,-0.43706,1.900278,0.315353,-0.104135,1
-0.364552,3.571317,2.222023,0.222974,0.77785,0.509777,0.562303,0.235231,0.325332,0.124568,0
2.833399,0.398383,0.347136,0.812536,-0.039253,-0.634963,0.597324,0.160686,-0.540714,-0.513188,1
3.307372,-0.155606,-0.540999,-0.512033,-1.786305,0.695242,0.909885,-0.019832,0.533804,-0.962552,1
3.354351,1.102758,-0.151955,0.827461,0.733613,0.692019,0.187585,0.316612,-0.063674,-0.243035,1
-6.517382,-8.004124,0.326141,-2.76936,1.597524,3.668888,-0.466789,1.321345,1.944668,-0.94608,0
1.716225,0.54269,-3.295476,-0.087254,0.084097,1.004176,-0.999831,-0.995369,-0.232323,-0.118891,1
5.560843,0.477426,-4.123836,-2.350425,-1.051535,2.091663,-1.166356,-3.949683,2.059355,-2.669665,1
-1.778099,-2.774148,0.941938,-3.071652,-0.69452,-1.200308,-0.62829,0.457496,-0.252183,0.022217,0
-2.609188,-1.560048,0.217994,-0.492345,1.103419,0.005814,0.863158,0.204825,0.356563,-0.411231,0
2.816561,0.969257,0.382257,0.463381,0.551305,1.207398,0.365939,0.113712,-0.329932,0.197865,1
-2.496242,-2.276478,-1.318315,-1.179798,-1.898062,-1.69861,0.903043,0.446984,-0.339741,-0.79761,0
-1.275904,2.441112,-2.464148,-0.129777,2.153414,1.216994,0.018166,0.178443,0.124887,0.585373,0
-3.470145,2.275843,1.237597,-1.112162,1.00837,0.321491,-0.167986,0.668694,0.891983,0.3037,0
-1.255571,-0.382055,3.834945,-0.716288,-0.650585,1.21819,-0.021949,0.541115,-0.337419,-0.158897,0
1.472139,-0.11679,0.214479,-0.49038,-0.713212,-0.540709,0.166788,-0.291642,-0.597352,0.655743,1
-1.648011,2.100445,0.97441,0.187877,0.916019,-0.329413,0.727252,0.621174,0.447103,-0.450144,0
-9.028643,0.654601,-0.221083,-0.764058,0.564395,-0.331943,2.668254,-0.260935,0.462555,0.434884,0
-4.550587,-3.083924,2.268411,-2.189194,-3.458311,-1.178677,-0.013067,-0.157837,-0.532756,-0.279711,0
0.780499,-0.652276,0.643088,0.214277,-0.437295,-0.160345,-0.187071,-0.068135,-0.53329,0.189396,1
0.222898,0.701205,2.268766,0.997753,0.645921,0.042895,-0.340878,1.098677,0.280442,-0.252618,0
3.451856,-1.305794,0.029239,0.330213,-1.860276,-0.328053,0.44224,-0.035986,-0.286456,0.143842,1
-0.446152,2.785257,-0.443989,0.471615,-0.529526,1.655136,0.169226,0.255999,-0.485889,0.786392,0
-0.314162,-2.075738,2.081481,-1.067599,-0.217677,1.188798,-0.861417,0.268875,0.719573,0.02803,1
2.057382,2.470614,1.46043,1.866436,1.836949,-0.524559,0.098816,0.349462,0.279454,-0.585083,1
-4.804742,3.026442,-2.741605,0.283114,0.193793,0.984118,1.540208,0.537231,-0.409349,-0.677171,0
2.996072,0.39643,0.59594,-0.207861,0.567858,-0.372461,-0.402617,0.245694,-0.147674,-0.16898,1
-12.274218,7.536782,-10.103537,5.189703,-3.849122,-0.876722,-5.412452,1.601541,-1.863123,-2.559223,0
-3.369232,-2.585554,-7.085835,-0.367174,2.768139,-4.214059,4.08109,4.358474,0.658089,1.705938,0
-2.506559,-2.612349,-0.206199,-1.893079,-2.122897,2.462905,0.776027,1.521895,0.521799,-0.290617,0
-1.316909,-2.152586,1.785069,-0.010158,0.167005,0.568592,0.03758,-0.444524,0.033531,0.072541,0
0.388413,-2.274799,-0.626781,-0.42935,0.119276,0.849149,0.903447,0.408262,-0.385299,-0.219056,1
2.754509,-1.085881,-1.705736,-0.516374,0.806314,1.78392,-0.496473,-0.964017,-0.671549,-0.234886,1
-4.939236,2.845822,-0.913074,0.33489,-0.482903,0.355065,-0.484439,0.320536,-0.443125,0.796078,0
-4.294298,4.662169,0.006833,-3.650172,0.178548,-0.913069,-0.670995,1.295853,0.019647,0.00575,0
2.371419,0.732762,1.524686,1.851701,1.182076,-0.857118,-0.658143,-0.062334,0.626169,-0.602724,1
