@relation breast_cancer-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R31_ICA-weka.filters.unsupervised.attribute.IndependentComponents-W-A30-N200-T1.0E-4

@attribute Source_0 numeric
@attribute Source_1 numeric
@attribute Source_2 numeric
@attribute Source_3 numeric
@attribute Source_4 numeric
@attribute Source_5 numeric
@attribute Source_6 numeric
@attribute Source_7 numeric
@attribute Source_8 numeric
@attribute Source_9 numeric
@attribute Source_10 numeric
@attribute Source_11 numeric
@attribute Source_12 numeric
@attribute Source_13 numeric
@attribute Source_14 numeric
@attribute Source_15 numeric
@attribute Source_16 numeric
@attribute Source_17 numeric
@attribute Source_18 numeric
@attribute Source_19 numeric
@attribute Source_20 numeric
@attribute Source_21 numeric
@attribute Source_22 numeric
@attribute Source_23 numeric
@attribute Source_24 numeric
@attribute Source_25 numeric
@attribute Source_26 numeric
@attribute Source_27 numeric
@attribute Source_28 numeric
@attribute Source_29 numeric
@attribute Benign? {0,1}

@data
-0.009527,0.055032,-0.042358,-0.020479,0.025019,0.012269,-0.028283,0.005368,0.029842,-0.005363,-0.003788,-0.010165,-0.009349,-0.031032,-0.034533,-0.002669,-0.047338,-0.020333,-0.002644,0.004005,-0.081881,0.004474,-0.030537,0.054377,0.011744,-0.036321,-0.046514,0.021284,-0.003438,0.01791,0
0.01933,-0.017057,-0.033108,0.039519,0.002103,-0.007227,-0.063451,0.007161,-0.013106,0.024944,0.001711,-0.058181,-0.023696,0.066875,0.044714,-0.069829,0.057221,-0.013392,0.016532,-0.040035,-0.026583,-0.119987,-0.008595,0.054554,0.010264,0.014272,0.050556,-0.009287,0.027269,-0.071053,0
0.004586,0.044069,-0.149418,0.185685,0.229862,-0.063798,0.097365,0.027048,-0.03045,-0.151336,-0.155576,0.099079,0.000613,0.041417,0.089548,0.122502,-0.093269,0.216809,0.204194,0.067459,-0.045816,0.073773,-0.027043,0.073628,-0.087808,-0.010601,0.196191,0.008069,-0.061339,0.019412,0
0.018541,-0.00994,0.026614,-0.036999,-0.039304,0.011133,0.004668,-0.050569,0.037195,-0.018327,0.020687,-0.016659,-0.075107,0.058363,0.011984,0.08977,-0.022841,0.012544,0.015194,0.005817,-0.013225,-0.000478,-0.00214,0.011611,0.016338,-0.007625,0.009847,0.047055,0.047652,0.021451,0
-0.047911,0.057643,-0.001244,0.000386,-0.106631,0.040231,-0.092348,-0.026054,-0.028348,-0.07369,0.050376,0.041613,-0.005387,0.029912,0.085332,0.015594,0.032534,-0.02782,0.02135,-0.032727,0.044062,-0.038515,0.04423,0.041172,-0.04189,-0.053058,0.020874,-0.048252,-0.047344,-0.041637,0
-0.085345,-0.015392,0.022807,-0.019526,0.065655,0.093654,-0.010418,-0.023168,-0.030643,-0.024878,0.095169,-0.030949,0.007649,0.115284,-0.016198,-0.024278,-0.008933,0.03318,0.000874,-0.079118,-0.036377,-0.052305,0.053591,0.006592,-0.057029,0.000052,-0.030289,-0.008568,-0.033962,-0.065412,0
-0.006611,-0.001278,-0.028447,-0.006875,0.004311,-0.06793,-0.003477,0.042758,0.043198,0.046948,0.002394,-0.032292,0.03657,-0.027195,-0.022643,-0.039731,-0.021412,0.002408,-0.031657,0.047975,-0.080614,0.000978,-0.006833,0.009648,-0.017662,-0.010908,0.022924,-0.04653,0.028391,-0.015476,0
-0.030022,-0.01137,-0.031355,-0.064893,0.034161,0.014718,0.02409,0.016391,-0.064044,0.026935,-0.044085,0.022665,0.045647,-0.042043,0.01963,0.016386,-0.050047,-0.038565,0.002649,0.073747,-0.048074,-0.051403,-0.045651,0.026435,-0.017583,-0.043371,0.05028,0.018623,0.009243,0.067565,0
0.042782,-0.049927,-0.04308,-0.015547,0.037393,-0.011514,-0.003392,0.090595,-0.000274,0.031015,0.060943,-0.102741,-0.055166,-0.054721,0.02168,0.022128,0.014649,0.060824,-0.067342,0.031334,-0.01915,0.056229,0.077968,0.005013,0.048206,0.007372,0.025303,-0.108793,-0.049187,-0.01626,0
-0.005796,-0.018007,-0.028559,-0.01392,-0.023453,-0.015995,0.034959,-0.00578,0.015943,0.011202,-0.035124,-0.037056,-0.028504,-0.002707,0.011249,0.030979,-0.003023,0.003685,-0.032282,0.008179,-0.003271,0.001315,0.050493,-0.043612,0.009042,-0.007628,0.030855,0.016912,-0.012875,-0.001326,1
-0.013669,-0.02746,0.044169,0.000168,0.010392,0.017761,0.064783,0.013735,-0.02907,0.036964,-0.040241,0.025852,0.033173,0.010582,-0.011461,-0.040588,-0.033982,0.024542,0.063877,-0.031442,0.054333,-0.044482,-0.004012,0.066438,0.036424,-0.006508,-0.023536,0.012322,-0.017614,-0.001302,1
0.064116,0.034259,0.011662,-0.03083,-0.027411,-0.001666,0.024822,0.01173,-0.007936,0.042968,0.00304,-0.02343,0.024295,0.069788,-0.003347,-0.037518,0.005828,0.006504,0.0502,0.024014,0.047508,0.025866,-0.001364,-0.050009,-0.024129,0.022896,0.017613,-0.005184,-0.012629,-0.029186,1
0.097419,-0.022436,0.05387,-0.045423,-0.036234,-0.079308,-0.006115,-0.05106,-0.034638,-0.002879,-0.029045,0.011802,-0.025577,-0.022548,-0.021632,0.033268,0.027232,-0.053774,0.042533,-0.040157,0.041772,-0.076928,0.099144,0.018165,-0.01691,-0.013345,0.033514,-0.010662,-0.040434,-0.028448,0
0.103017,0.003995,-0.050696,-0.00799,0.035205,0.032036,-0.075174,0.049663,-0.012222,0.054383,-0.013738,-0.035844,-0.062939,-0.025491,0.050718,-0.024537,0.003559,-0.008818,-0.091415,0.028013,-0.003533,0.030562,-0.007244,0.058581,0.036381,-0.011089,-0.015831,-0.088194,-0.027667,0.122663,0
0.023097,-0.076892,-0.05322,-0.100442,0.107266,-0.017847,0.046861,0.010409,0.014153,0.048955,0.00637,-0.041371,-0.003446,-0.047908,0.004436,-0.017048,0.084602,0.058744,-0.078744,0.080447,-0.045342,-0.018434,-0.030018,0.058464,0.055179,-0.062042,0.04189,-0.087749,-0.041539,-0.001131,0
-0.053057,0.014109,-0.005598,-0.046233,0.060587,-0.07348,-0.012851,-0.11519,-0.04862,0.046792,-0.058539,-0.033661,-0.030737,-0.006027,-0.030635,0.007038,-0.00202,-0.038527,0.066577,0.087633,-0.007613,-0.096172,0.005716,-0.094283,-0.0128,-0.114633,0.04203,-0.05693,-0.051266,0.058783,0
-0.037981,0.009832,-0.04845,-0.01746,-0.059294,-0.031257,-0.124186,-0.01244,-0.046412,0.003783,-0.022093,-0.080271,0.021902,-0.000869,0.047671,-0.025931,-0.037224,-0.061594,0.056668,-0.016158,0.019449,-0.120024,0.095918,0.018454,-0.019592,-0.080508,0.006858,-0.061334,0.068106,-0.020506,0
-0.003472,-0.000684,0.000384,0.056596,-0.031949,-0.003915,-0.00796,-0.013233,0.02446,-0.004081,0.070591,-0.034434,-0.024391,0.017747,0.001196,0.022507,-0.035026,-0.062563,-0.009943,0.083748,-0.011429,0.003689,-0.035709,-0.001999,-0.036878,0.02577,0.01355,0.038545,-0.017504,0.009854,0
-0.034598,-0.098357,0.058074,-0.048748,0.043655,-0.008799,0.071569,0.087118,0.014495,-0.035837,0.068765,-0.092789,-0.026274,0.060201,-0.056528,0.004931,0.041125,-0.038023,0.038638,-0.09641,0.033529,-0.097773,0.000283,0.025382,0.018563,-0.081146,-0.052747,-0.07495,-0.036986,-0.117942,0
-0.001527,-0.009894,-0.040148,0.073523,0.030309,0.010965,0.02718,0.037722,-0.088491,0.043487,0.007227,0.00203,-0.04858,0.006197,0.011743,-0.002039,-0.02783,-0.011486,0.0148,-0.019086,-0.046844,-0.043991,0.005583,-0.048281,0.02785,0.029009,-0.031646,0.001675,0.01205,-0.029114,0
-0.095362,-0.091243,-0.009887,-0.07643,0.084099,0.080628,0.016683,-0.010072,-0.009077,-0.064341,0.035748,0.011107,-0.03294,-0.019293,-0.087463,0.041457,0.000874,-0.059186,-0.011824,0.000721,-0.024965,-0.030821,0.007995,-0.046612,0.064234,-0.034903,-0.023797,0.008961,-0.023017,0.032298,0
-0.024622,-0.009639,0.000839,-0.102215,0.163428,-0.037253,0.03695,0.011671,0.012278,-0.027061,0.091885,-0.068048,0.092403,0.058762,-0.159175,-0.081535,-0.047974,0.004927,0.011651,-0.027615,0.016447,-0.088257,0.036927,0.030375,-0.016995,-0.019107,-0.01204,0.034122,-0.075489,-0.097258,0
-0.03573,-0.092753,0.022025,0.011835,0.003401,0.015788,0.053443,-0.036152,-0.024857,0.046027,-0.011723,0.010303,0.030731,-0.021461,0.001916,0.000328,0.10803,-0.002112,-0.015218,-0.076349,-0.088035,0.011345,-0.003648,-0.044971,-0.070408,0.044389,0.051147,-0.064882,-0.002416,0.063912,0
0.004839,-0.000267,0.065986,0.024032,0.015582,0.088381,0.002002,0.002916,-0.025892,-0.058343,0.098753,-0.048086,-0.027016,0.012733,0.089673,-0.026276,0.080952,0.058123,0.028575,-0.018292,0.077195,-0.104251,-0.004773,0.095594,-0.049359,0.007663,-0.010154,0.071665,-0.007164,0.014203,0
-0.01768,0.006396,-0.056031,-0.016632,-0.028831,0.048565,-0.055516,-0.008287,-0.030729,-0.010527,0.003536,-0.048695,0.03798,0.044855,0.018632,-0.080462,0.009835,0.005145,0.047487,-0.016858,-0.054096,-0.124756,0.018419,0.073495,0.012475,0.03681,0.069354,0.031503,0.024017,0.020402,0
-0.021145,-0.030112,0.080144,-0.039082,-0.062588,-0.040605,0.018297,0.03649,0.05867,-0.156493,-0.018388,-0.027976,-0.058378,-0.110892,-0.024096,-0.030327,-0.039406,0.06949,-0.029851,0.048505,-0.052498,-0.066472,0.034974,0.034937,-0.046261,0.049421,-0.012074,0.064911,-0.054414,0.01325,0
-0.054653,-0.004739,-0.025332,-0.010976,-0.019657,0.05508,0.016672,-0.007812,0.005331,-0.07955,0.070341,-0.040421,-0.052388,0.054699,-0.034868,0.019052,-0.013866,0.002297,-0.024729,-0.048271,-0.045253,-0.017073,0.060168,-0.022704,-0.002814,-0.004391,-0.061594,-0.042771,-0.048582,-0.082489,0
0.059566,-0.057563,-0.029836,0.053607,0.014535,0.008771,0.008688,0.017693,0.030692,-0.0081,0.037083,0.013034,0.066702,0.058099,-0.018406,0.00063,0.078209,-0.01209,0.088341,0.00262,-0.000664,0.090593,0.069335,0.02243,0.026252,-0.047717,-0.022455,0.063796,0.003651,-0.034203,1
0.010171,-0.047177,0.061339,0.138008,-0.048939,0.238209,-0.074211,-0.007392,-0.010039,-0.033253,0.088876,0.02394,-0.117157,-0.102053,-0.025942,-0.044619,-0.109917,0.111998,0.154839,0.118276,-0.042143,-0.057136,-0.050313,-0.168333,-0.176319,0.121789,-0.093202,0.061885,-0.08424,-0.061186,0
-0.059402,0.025791,0.000268,-0.013154,-0.062336,-0.059205,-0.067741,0.010749,0.012523,0.009344,0.079071,-0.011682,0.02015,-0.05048,0.073366,0.043728,-0.006747,0.010659,-0.068153,0.065848,0.046211,0.00225,0.142267,-0.03406,0.004752,-0.091462,-0.035857,-0.03901,0.041088,-0.045963,0
0.004201,0.028769,0.044932,0.016496,-0.023956,-0.024276,-0.033679,-0.003083,0.038728,0.053072,-0.031965,-0.043571,0.035641,-0.005336,-0.010761,-0.003202,-0.02076,0.005891,-0.000876,-0.011236,0.001392,-0.034251,0.017804,0.030298,0.003264,-0.016552,0.012114,-0.070847,0.050033,0.017185,0
-0.071128,-0.022409,-0.000715,-0.077485,0.004771,0.023361,0.028543,0.087463,0.044774,-0.003382,-0.044746,0.03954,0.023917,0.042475,-0.005099,0.018276,-0.067614,-0.05008,-0.064828,0.015664,-0.009686,0.054561,-0.003231,-0.052585,-0.025869,-0.029139,0.004054,-0.058946,-0.027555,-0.004735,0
0.068852,-0.037056,0.01492,0.067011,0.140649,-0.136486,-0.048241,-0.02262,-0.030253,-0.07333,0.049553,0.04578,-0.100881,0.041127,0.017276,0.073877,-0.074271,0.015249,-0.100691,-0.061025,-0.03563,-0.086569,0.028748,0.018053,0.047974,0.022743,-0.006066,-0.091718,0.016339,-0.13549,0
-0.022307,-0.021322,-0.011186,-0.075348,0.067946,-0.03711,0.02933,0.014205,0.021599,0.011859,-0.032347,0.002256,0.056733,-0.01794,-0.022518,-0.029917,0.010758,0.013128,0.024877,0.00228,-0.000774,-0.076556,-0.024167,0.029113,0.00071,-0.043295,0.035168,0.032604,0.047136,0.01786,0
-0.035492,-0.008879,-0.003766,-0.029587,0.024184,-0.039078,0.021856,0.032971,0.043111,0.00317,-0.033316,-0.022265,0.041044,-0.026809,0.011214,-0.046388,0.053077,0.016996,0.026957,-0.049845,-0.006091,-0.077588,0.017532,0.007137,-0.049272,-0.028256,0.013175,0.00803,0.085917,-0.013862,0
0.002803,-0.062371,0.062585,0.023537,0.010142,-0.04213,0.036091,0.079226,0.013172,-0.023339,0.025869,0.012407,-0.00629,-0.055562,0.027671,0.003653,0.017242,0.055883,-0.05303,0.029457,0.025764,-0.055904,0.076824,-0.015884,-0.037401,0.070256,0.067841,0.064357,-0.017772,0.024155,0
0.0367,0.018886,0.037479,-0.078171,0.007762,0.002916,0.032391,0.026115,0.005574,-0.061966,-0.063531,-0.023309,0.005477,0.033349,0.003725,-0.01881,0.039857,0.005501,0.000237,-0.021009,0.05293,0.006479,-0.038711,-0.044329,0.015918,0.028813,-0.001327,0.003651,0.045427,-0.00806,1
-0.054522,0.010773,-0.040208,-0.033112,-0.01643,-0.000727,-0.051802,-0.005193,-0.023637,0.01236,-0.009189,-0.006559,0.022726,0.006247,0.033486,-0.03128,-0.011738,-0.001926,-0.049461,0.029286,-0.072407,-0.003586,0.102458,-0.052742,-0.052887,-0.001901,0.011963,-0.006173,0.011494,-0.01336,0
-0.036234,-0.014797,-0.018844,-0.023245,0.008618,0.055782,0.069975,0.026932,0.063029,-0.031097,-0.014303,0.052444,0.022151,-0.000376,-0.015096,-0.002143,-0.009468,0.021995,-0.055159,0.009639,0.019198,-0.026617,-0.02107,-0.022809,0.023218,0.031678,0.026152,0.02248,-0.034647,0.014853,1
-0.00194,0.001006,0.02799,-0.004389,-0.022413,-0.028699,-0.035729,0.025209,0.048016,0.021402,-0.051222,-0.022299,0.013775,-0.019235,-0.031054,0.02766,-0.051805,-0.008755,0.012799,0.001724,0.004686,0.014778,0.043432,0.007566,-0.002671,-0.040638,0.008215,-0.045324,0.023072,0.019506,1
0.0333,0.005221,0.039375,0.001801,-0.020486,0.028844,-0.005794,0.003789,0.031711,-0.013514,0.037722,0.015423,0.019441,-0.007784,0.010874,0.017393,0.007188,0.030366,0.021286,0.017397,-0.026632,-0.005989,-0.033019,-0.026253,0.01063,0.013923,-0.047639,-0.004815,0.017026,-0.018963,1
0.015063,0.07689,-0.030983,0.024161,-0.048898,0.010039,-0.013612,0.008729,-0.015188,-0.006667,0.007247,-0.003363,-0.007663,-0.04166,-0.005153,0.003651,-0.020389,-0.035122,0.00856,0.019209,-0.024459,0.013703,0.004558,0.017178,0.019808,-0.034449,-0.025918,0.008903,0.006447,-0.035302,1
0.012217,0.053883,0.024617,-0.017808,-0.003204,-0.006844,0.016953,-0.055876,-0.007893,0.035289,-0.000424,-0.048805,0.018387,-0.008304,-0.004091,0.02668,0.010146,0.025382,0.001043,-0.006293,-0.004989,0.017868,0.023512,-0.017952,-0.001994,-0.016147,-0.011441,-0.000604,0.003923,0.006864,1
-0.071801,-0.040473,0.045408,0.0381,0.006079,0.013135,-0.023913,-0.036934,-0.010527,-0.009447,0.015727,0.107229,-0.001304,-0.010137,-0.031538,-0.039161,0.055884,-0.067731,0.018709,0.018383,-0.0737,-0.001868,0.00418,-0.056809,0.054198,-0.009235,-0.07555,-0.001404,-0.044421,0.040111,0
-0.012105,0.048219,0.019054,0.020387,-0.038533,-0.032218,-0.027215,0.016594,0.034585,0.052274,0.008085,-0.017781,0.010097,-0.034181,0.03174,0.016298,-0.0473,-0.002738,-0.062255,0.041334,-0.022765,0.014585,0.026453,0.022619,-0.019222,-0.037185,-0.013252,-0.063683,0.017884,0.006174,0
0.021438,-0.00323,0.005016,-0.040869,-0.017972,-0.018096,-0.001469,-0.040074,0.039442,-0.012875,-0.009196,-0.032766,0.021503,0.016624,0.027021,0.029724,0.008616,0.041815,-0.006909,-0.006317,-0.046165,-0.008608,0.014143,-0.034152,0.023977,0.026442,-0.016523,0.001926,-0.001751,0.020926,1
0.069714,-0.040583,-0.018654,0.000875,0.044166,-0.002694,0.007816,0.031629,-0.026102,0.048771,-0.039094,-0.038333,-0.052225,-0.032335,0.048404,-0.030805,0.065413,0.003593,-0.02502,0.041224,-0.029189,0.012413,0.02105,0.075501,-0.015065,0.004818,0.026678,-0.007873,-0.0545,0.000142,0
0.027921,0.007519,-0.055262,-0.017793,-0.020685,0.010486,-0.098802,-0.036739,-0.010846,0.046702,-0.000811,0.043933,0.014103,-0.013227,0.009186,-0.066095,0.042827,-0.015444,0.05984,-0.067022,-0.086623,-0.038627,0.04029,-0.008255,-0.049776,-0.003903,-0.033286,-0.048147,0.007263,0.001371,0
0.004038,0.006239,0.022267,0.050639,0.009988,0.035074,0.000604,-0.076084,0.028911,0.002677,0.011131,-0.034907,0.00961,-0.018718,0.008186,0.025874,0.017384,0.030815,-0.016635,-0.031573,0.007145,-0.013497,-0.030705,-0.021231,0.014931,0.001296,-0.011943,0.01602,-0.046572,0.026985,1
-0.007339,0.051779,0.021227,-0.045287,0.016539,0.002654,0.121219,0.036682,-0.07067,-0.044698,-0.036289,-0.022531,0.006428,0.017439,0.040393,-0.053359,0.044974,0.025787,-0.043583,0.064452,0.000524,0.044844,-0.019105,-0.038187,-0.046306,0.044184,-0.027002,0.063779,0.014856,-0.068393,1
0.027674,0.004489,0.050172,0.03734,0.053237,0.005675,-0.03761,-0.068941,0.009644,0.01161,-0.043575,-0.019297,0.067514,0.094903,0.050689,0.051759,-0.016079,0.040101,-0.012768,0.004046,0.049338,-0.030514,0.038836,-0.068451,0.021024,0.011974,-0.068981,-0.029689,-0.153665,0.080517,1
0.028945,-0.089031,0.00749,-0.041874,-0.00695,-0.02318,-0.012378,-0.000617,0.059803,-0.054352,0.008638,0.083227,0.006109,0.037974,0.066011,-0.078736,-0.034732,0.066641,-0.060237,-0.003427,0.04063,0.039305,-0.055949,-0.011679,-0.003826,0.064548,-0.071881,-0.027565,0.00935,-0.027837,1
-0.00305,-0.013423,0.069913,0.050148,0.03208,0.04891,0.021097,0.014491,-0.067501,0.028774,0.036965,0.075572,0.008341,0.007324,0.024422,0.005649,0.01204,0.010231,-0.044306,0.015139,0.012849,-0.047817,-0.082823,-0.039416,-0.0943,0.052455,0.147299,-0.021547,0.034067,-0.047256,0
0.078209,0.023181,0.044283,-0.004194,0.044469,-0.0384,-0.047848,-0.067281,-0.041761,-0.073382,-0.030508,-0.014077,0.04213,0.110407,-0.07156,-0.00966,0.019652,-0.054965,-0.004348,0.096363,0.051737,0.02918,0.01512,-0.035356,0.042338,-0.032914,0.036457,0.019031,0.011814,-0.013263,1
-0.029187,-0.046737,-0.034528,-0.051963,0.091746,-0.0344,0.033886,0.022462,0.051743,0.029506,-0.017663,0.008074,0.021626,0.031684,0.046194,-0.004933,0.075115,0.004123,-0.038157,-0.017569,-0.008434,-0.034669,-0.027855,-0.012647,-0.06512,-0.05475,0.027853,0.008995,0.056718,-0.032314,0
-0.040218,-0.069399,-0.000597,-0.038903,0.017504,0.031533,0.022211,0.045563,-0.032965,0.027467,-0.049363,0.025865,-0.015182,0.016874,0.034643,0.017664,0.035024,-0.028062,0.043174,-0.052524,-0.056151,-0.002827,-0.004988,-0.015826,-0.014953,-0.041701,-0.024673,0.002639,0.020106,0.000316,0
-0.003356,0.003634,-0.033761,-0.045951,-0.018409,0.003297,-0.042137,0.027912,0.010928,-0.045367,-0.036257,-0.008981,0.014439,0.013249,0.030245,-0.026484,-0.036435,-0.018681,-0.008614,0.013936,0.002154,0.05609,-0.034213,0.000012,-0.026553,-0.006644,-0.040386,-0.00231,-0.01102,-0.022638,1
0.014755,0.003005,-0.001166,-0.027213,-0.030377,0.026106,0.015141,0.020733,0.016729,-0.017237,-0.015829,-0.035651,-0.005272,-0.022745,0.030262,0.081395,0.031208,-0.001509,-0.03916,0.011779,-0.009913,0.012178,-0.010322,-0.067403,0.004234,0.012052,0.01718,0.02173,0.03069,0.005486,1
0.025838,-0.103832,-0.068913,-0.096964,-0.024303,-0.018183,0.034787,0.04061,-0.101606,0.050927,0.016825,0.061997,0.07496,0.058387,-0.197247,0.11164,-0.039266,0.061996,-0.138637,0.144623,0.046226,-0.017661,0.136457,0.133391,-0.086693,0.312467,-0.146259,-0.017632,0.200564,-0.009277,1
0.007492,-0.021833,-0.020866,-0.015018,-0.036016,0.029452,0.032745,-0.001809,0.039421,0.013825,0.011036,0.003367,0.000525,0.01398,0.026743,0.044186,0.027568,0.01146,-0.011805,-0.019502,-0.01844,0.020171,0.016491,-0.032852,0.032821,0.016429,-0.019928,0.032692,-0.018519,0.011332,1
0.040477,-0.014915,-0.007318,0.001605,0.053219,-0.066938,0.015604,0.024143,0.036358,0.059211,0.05425,-0.035849,-0.025372,-0.043527,-0.008295,-0.01458,0.025729,0.008645,0.015138,0.01591,0.010594,-0.040167,-0.013271,0.008998,0.035717,-0.041771,-0.022358,-0.052832,0.039672,-0.003284,0
-0.094106,0.140717,0.186732,0.033152,-0.037504,-0.192242,-0.106735,0.141897,-0.095596,0.061359,-0.049758,-0.043827,-0.031511,-0.046379,-0.101964,-0.002618,0.045298,0.108461,-0.014434,-0.132328,0.068671,0.016088,-0.200084,-0.11602,0.011144,0.037075,0.081997,-0.045868,-0.218836,0.074625,1
-0.001393,-0.009909,-0.035733,0.017129,0.053068,0.073464,-0.104907,-0.03701,0.01527,0.042784,0.072746,0.036608,0.03151,0.06694,0.087191,-0.046733,0.084548,0.026731,-0.054838,-0.038381,0.017765,-0.095393,-0.033266,0.094752,-0.002687,0.017523,0.105891,0.017355,0.016711,0.018651,0
-0.023328,0.022713,-0.067343,-0.018574,0.014327,-0.019816,0.006547,-0.021097,0.009268,0.036338,0.043676,0.030136,0.044536,0.009141,0.028365,-0.021518,0.015418,-0.020838,0.001309,0.021495,0.032283,-0.052879,0.004879,0.024419,0.049102,-0.074393,0.007139,0.018315,0.052655,-0.021446,0
-0.00971,0.007458,-0.005069,0.026473,-0.021587,-0.010396,-0.017973,-0.003761,0.027319,0.044743,-0.033084,0.0019,0.041007,0.009772,-0.005342,-0.042203,-0.012081,0.021485,-0.004544,0.00949,0.005014,-0.020667,0.00078,0.007537,0.021653,0.013368,0.046918,-0.036851,0.046573,0.007891,1
0.00623,-0.044665,0.016035,0.008813,0.028478,-0.000683,0.046559,-0.00709,0.016693,0.048119,-0.002122,-0.058013,-0.076038,-0.025958,0.009957,0.030864,0.019745,-0.001575,-0.032498,0.04422,-0.005396,-0.025151,-0.02181,-0.058607,-0.062338,0.007013,0.045465,0.037379,0.018597,-0.034632,0
